datetime,Open,High,Low,Close,Volume
2015-08-06 11:00:00,20.51,20.51,20.51,20.51,706547.0
2015-08-06 11:15:00,20.51,20.51,20.51,20.51,799993.0
2015-08-06 11:30:00,20.5,20.5,20.5,20.5,647340.0
2015-08-06 12:15:00,20.5,20.5,20.5,20.5,441759.0
2015-08-06 12:30:00,20.49,20.5,20.49,20.49,620298.0
2015-08-06 12:45:00,20.49,20.49,20.49,20.49,455660.0
2015-08-06 13:00:00,20.48,20.48,20.48,20.48,619554.0
2015-08-06 13:15:00,20.49,20.49,20.49,20.49,541656.0
2015-08-06 13:30:00,20.48,20.48,20.48,20.48,784997.0
2015-08-06 13:45:00,20.48,20.49,20.48,20.48,662870.0
2015-08-06 14:00:00,20.48,20.48,20.48,20.48,769759.0
2015-08-06 14:15:00,20.46,20.47,20.46,20.47,457231.0
2015-08-06 14:30:00,20.47,20.47,20.47,20.47,730801.0
2015-08-06 14:45:00,20.47,20.47,20.47,20.47,579267.0
2015-08-06 15:00:00,20.46,20.46,20.46,20.46,675485.0
2015-08-06 15:15:00,20.46,20.46,20.45,20.46,597977.0
2015-08-06 15:30:00,20.45,20.45,20.45,20.45,559294.0
2015-08-06 15:45:00,20.45,20.45,20.45,20.45,759115.0
2015-08-10 09:30:00,22.84,22.84,22.84,22.84,675748.0
2015-08-10 09:45:00,22.85,22.86,22.85,22.86,506206.0
2015-08-10 10:00:00,22.89,22.89,22.89,22.89,509396.0
2015-08-10 10:15:00,22.92,22.93,22.92,22.92,528914.0
2015-08-10 10:30:00,22.98,22.98,22.98,22.98,551779.0
2015-08-10 10:45:00,23.01,23.02,23.01,23.02,580492.0
2015-08-10 11:00:00,23.05,23.05,23.05,23.05,825803.0
2015-08-10 11:15:00,23.09,23.09,23.09,23.09,666478.0
2015-08-10 11:30:00,23.12,23.13,23.12,23.12,539676.0
2015-08-10 11:45:00,23.17,23.17,23.17,23.17,811866.0
2015-08-10 12:00:00,23.19,23.19,23.19,23.19,562201.0
2015-08-10 12:15:00,23.21,23.21,23.2,23.21,448265.0
2015-08-10 12:30:00,23.28,23.29,23.28,23.28,539703.0
2015-08-10 12:45:00,23.32,23.32,23.31,23.32,717462.0
2015-08-10 13:00:00,23.33,23.33,23.33,23.33,482813.0
2015-08-10 13:15:00,23.4,23.41,23.4,23.4,601997.0
2015-08-10 13:30:00,23.4,23.41,23.39,23.4,521152.0
2015-08-10 13:45:00,23.49,23.49,23.49,23.49,528482.0
2015-08-10 14:00:00,23.5,23.51,23.5,23.5,583783.0
2015-08-10 14:15:00,23.56,23.56,23.55,23.56,448322.0
2015-08-10 14:30:00,23.59,23.59,23.59,23.59,748083.0
2015-08-10 14:45:00,23.63,23.63,23.63,23.63,678640.0
2015-08-10 15:00:00,23.63,23.63,23.63,23.63,608030.0
2015-08-10 15:15:00,23.68,23.69,23.68,23.68,694198.0
2015-08-10 15:30:00,23.75,23.76,23.75,23.75,533317.0
2015-08-10 15:45:00,23.76,23.76,23.76,23.76,464881.0
2015-08-11 09:30:00,23.43,23.43,23.43,23.43,314128.0
2015-08-11 09:45:00,23.43,23.43,23.43,23.43,431656.0
2015-08-11 10:00:00,23.44,23.44,23.44,23.44,347828.0
2015-08-11 10:15:00,23.46,23.46,23.46,23.46,526834.0
2015-08-11 10:30:00,23.47,23.47,23.47,23.47,476652.0
2015-08-11 10:45:00,23.48,23.48,23.48,23.48,425437.0
2015-08-11 11:00:00,23.49,23.49,23.49,23.49,437068.0
2015-08-11 11:15:00,23.5,23.5,23.5,23.5,442920.0
2015-08-11 11:30:00,23.49,23.49,23.49,23.49,323617.0
2015-08-11 11:45:00,23.51,23.51,23.51,23.51,320029.0
2015-08-11 12:00:00,23.53,23.53,23.52,23.53,312289.0
2015-08-11 12:15:00,23.54,23.54,23.54,23.54,468573.0
2015-08-11 12:30:00,23.54,23.54,23.54,23.54,493052.0
2015-08-11 12:45:00,23.55,23.55,23.55,23.55,299697.0
2015-08-11 13:00:00,23.56,23.56,23.56,23.56,373225.0
2015-08-11 13:15:00,23.57,23.57,23.57,23.57,441690.0
2015-08-11 13:30:00,23.57,23.57,23.57,23.57,347472.0
2015-08-11 13:45:00,23.59,23.59,23.58,23.59,531601.0
2015-08-11 14:00:00,23.6,23.6,23.59,23.6,387644.0
2015-08-11 14:15:00,23.6,23.6,23.6,23.6,372105.0
2015-08-11 14:30:00,23.61,23.61,23.61,23.61,405592.0
2015-08-11 14:45:00,23.63,23.63,23.63,23.63,491495.0
2015-08-11 15:00:00,23.63,23.63,23.63,23.63,540510.0
2015-08-11 15:15:00,23.64,23.64,23.64,23.64,422945.0
2015-08-11 15:30:00,23.65,23.65,23.65,23.65,406605.0
2015-08-11 15:45:00,23.65,23.65,23.65,23.65,521197.0
2015-08-12 09:30:00,23.29,23.3,23.29,23.3,395058.0
2015-08-12 09:45:00,23.3,23.3,23.3,23.3,281285.0
2015-08-12 10:00:00,23.31,23.31,23.31,23.31,375543.0
2015-08-12 10:15:00,23.35,23.35,23.35,23.35,412923.0
2015-08-12 10:30:00,23.36,23.36,23.36,23.36,396945.0
2015-08-12 10:45:00,23.37,23.37,23.37,23.37,330818.0
2015-08-12 11:00:00,23.39,23.39,23.39,23.39,320897.0
2015-08-12 11:15:00,23.41,23.41,23.4,23.41,277120.0
2015-08-12 11:30:00,23.43,23.43,23.43,23.43,401242.0
2015-08-12 11:45:00,23.44,23.44,23.44,23.44,365629.0
2015-08-12 12:00:00,23.46,23.46,23.46,23.46,345160.0
2015-08-12 12:15:00,23.48,23.48,23.48,23.48,278693.0
2015-08-12 12:30:00,23.48,23.48,23.48,23.48,340910.0
2015-08-12 12:45:00,23.51,23.51,23.51,23.51,406232.0
2015-08-12 13:00:00,23.52,23.53,23.52,23.53,286250.0
2015-08-12 13:15:00,23.54,23.55,23.54,23.54,416194.0
2015-08-12 13:30:00,23.56,23.56,23.56,23.56,334695.0
2015-08-12 13:45:00,23.58,23.59,23.58,23.58,372718.0
2015-08-12 14:00:00,23.6,23.6,23.6,23.6,384271.0
2015-08-12 14:15:00,23.61,23.61,23.61,23.61,319828.0
2015-08-12 14:30:00,23.63,23.63,23.63,23.63,362086.0
2015-08-12 14:45:00,23.65,23.65,23.64,23.65,339971.0
2015-08-12 15:00:00,23.66,23.66,23.65,23.66,292231.0
2015-08-12 15:15:00,23.68,23.68,23.68,23.68,353851.0
2015-08-12 15:30:00,23.71,23.71,23.71,23.71,462467.0
2015-08-12 15:45:00,23.71,23.72,23.71,23.72,373485.0
2015-08-13 09:30:00,23.75,23.75,23.75,23.75,201424.0
2015-08-13 09:45:00,23.74,23.74,23.74,23.74,269369.0
2015-08-13 10:00:00,23.73,23.73,23.73,23.73,333412.0
2015-08-13 10:15:00,23.72,23.72,23.72,23.72,287937.0
2015-08-13 10:30:00,23.71,23.71,23.71,23.71,250597.0
